date,time edt,temp c,spcond (ms/cm),ph,do (mg/l),do (%),turbidity (fnu),chlorophyll (rfu),phycocyanin (rfu),est. cyano (cells/ml),est.chl a (ug/l)
06/06/2025,00:00,22.51,.6,7.63,9.3,107.6,2.03,7.9,.91,10500,28
06/06/2025,00:15,22.53,.59,7.61,9.24,107,1.98,6.42,.89,10200,27.9
06/06/2025,00:30,22.51,.59,7.61,9.22,106.7,2.25,6.55,.9,10200,28.1
06/06/2025,00:45,22.51,.59,7.61,9.21,106.5,2.16,6.25,.89,10200,27.8
06/06/2025,01:00,22.5,.59,7.6,9.2,106.4,2.07,6.46,.9,10400,27.9
06/06/2025,01:15,22.48,.59,7.6,9.2,106.3,2.05,6.11,.85,10400,27.7
06/06/2025,01:30,22.45,.6,7.6,9.18,106.1,2.08,6.54,.87,10400,27.8
06/06/2025,01:45,22.43,.6,7.59,9.16,105.8,2.09,6.32,.89,10600,27.8
06/06/2025,02:15,22.37,.6,7.57,9.08,104.7,2.19,6.96,.96,11000,27.8
06/06/2025,02:30,22.33,.6,7.57,9.02,104,2.04,6.4,.97,10800,27.6
06/06/2025,02:45,22.28,.6,7.56,8.96,103.1,2.06,5.98,.9,10500,27.8
06/06/2025,03:00,22.26,.6,7.54,8.88,102.2,2.04,6.22,.88,10200,27.4
06/06/2025,03:15,22.23,.59,7.54,8.84,101.7,2.1,6.07,.95,10800,27.5
06/06/2025,03:30,22.19,.59,7.54,8.82,101.5,2.21,5.63,.83,11000,27.2
06/06/2025,03:45,22.18,.59,7.54,8.8,101.2,2.12,7.1,.96,11300,27.8
06/06/2025,04:00,22.16,.59,7.53,8.77,100.7,2.11,6.22,1.06,11400,27.8
06/06/2025,04:15,22.15,.59,7.52,8.72,100.2,2.03,6.18,.89,10800,27.4
06/06/2025,04:30,22.11,.59,7.53,8.74,100.3,2.11,6.8,.92,11400,27.3
06/06/2025,04:45,22.09,.59,7.54,8.76,100.5,2.08,6.24,.9,11400,27.3
06/06/2025,05:00,22.07,.59,7.54,8.77,100.6,2.13,5.85,.91,11500,27.3
06/06/2025,05:15,22.05,.59,7.54,8.76,100.5,2.13,6.44,.96,11600,27.4
06/06/2025,05:30,22.05,.59,7.53,8.74,100.2,2.01,5.62,.92,11500,27.5
06/06/2025,05:45,22.03,.59,7.53,8.73,100.1,2.21,8.2,.97,11500,27.5
06/06/2025,06:00,22.03,.59,7.53,8.71,99.9,2.03,7.59,.95,11100,27.8
06/06/2025,06:15,22.01,.59,7.52,8.68,99.5,2.11,6.25,.97,11500,28
06/06/2025,06:30,22.02,.59,7.52,8.68,99.5,2.08,6.51,.94,11100,28.1
06/06/2025,06:45,22,.59,7.45,8.34,95.6,2.23,5.67,.93,11800,28.1
06/06/2025,07:00,22,.59,7.5,8.62,98.7,2.18,5.82,.96,11800,28.2
06/06/2025,07:15,21.98,.59,7.43,8.17,93.6,2.25,5.65,.86,12400,27.2
06/06/2025,07:30,21.96,.59,7.44,8.27,94.6,2.12,5.37,.88,12500,27.2
06/06/2025,07:45,21.92,.59,7.49,8.55,97.8,2.09,6.17,.96,11600,27.1
06/06/2025,08:00,21.93,.59,7.49,8.55,97.8,2.18,5.32,.94,12500,26.3
06/06/2025,08:15,21.96,.59,7.47,8.44,96.6,2.13,7.4,.95,12700,26.3
06/06/2025,08:30,21.92,.59,7.48,8.51,97.3,2.07,6.09,1,12700,26.4
06/06/2025,08:45,21.9,.59,7.48,8.54,97.7,2.11,5.21,.83,11900,26.3
06/06/2025,09:00,21.77,.59,7.49,8.61,98.2,2.12,4.74,.75,11800,25.3
06/06/2025,09:15,21.76,.59,7.5,8.64,98.6,2.1,4.52,.66,11600,24.8
06/06/2025,09:30,21.72,.59,7.5,8.66,98.7,2.1,4.56,.7,11400,24.4
06/06/2025,09:45,21.69,.59,7.5,8.66,98.6,2.08,5.02,.72,11400,22.9
06/06/2025,10:00,21.58,.59,7.49,8.61,97.9,2.07,4.08,.66,11300,21.7
06/06/2025,10:15,21.61,.59,7.49,8.63,98.1,2.15,4.7,.67,11300,21
06/06/2025,10:30,21.55,.59,7.48,8.6,97.6,2.07,3.97,.63,11300,20.4
06/06/2025,10:45,21.69,.59,7.51,8.71,99.2,2.12,4.58,.71,11300,20.3
06/06/2025,11:00,21.64,.59,7.5,8.7,98.9,2.15,4.4,.74,11300,20.2
06/06/2025,11:15,21.7,.59,7.51,8.69,98.9,2.1,4.49,.67,11300,20.1
06/06/2025,11:30,21.35,.59,7.44,8.37,94.6,2.02,4,.58,11000,19.7
06/06/2025,11:45,21.73,.6,7.5,8.67,98.9,2.13,4.94,.71,11500,19.7
06/06/2025,12:00,21.37,.59,7.44,8.44,95.5,2.06,4.05,.61,11500,19.7
06/06/2025,12:15,21.43,.6,7.46,8.49,96.2,2.12,4.15,.7,11500,19.4
06/06/2025,12:30,21.26,.6,7.43,8.34,94.2,2.03,3.84,.64,11500,19.4
06/06/2025,12:45,20.91,.61,7.36,7.92,88.8,1.97,3.5,.6,10800,18.6
06/06/2025,13:00,20.82,.64,7.35,7.82,87.5,2.01,3.26,.63,9900,18.2
06/06/2025,13:15,20.95,.61,7.37,7.96,89.4,2,3.57,.67,9300,17.9
06/06/2025,13:30,20.47,.66,7.3,7.51,83.5,2.06,3.07,.6,9900,17.3
06/06/2025,13:45,20.13,.66,7.26,7.17,79.24,1.92,2.35,.59,9200,16.6
06/06/2025,14:00,20.63,.68,7.3,7.52,83.9,1.96,2.99,.64,8800,16.3
06/06/2025,14:15,20.27,.66,7.3,7.44,82.4,1.96,2.61,.54,8300,15.5
06/06/2025,14:30,20.75,.63,7.34,7.79,87.1,1.96,3.43,.64,7800,15.5
06/06/2025,14:45,20.65,.64,7.33,7.72,86.1,2.03,3.28,.64,8200,15.7
06/06/2025,15:00,20.45,.64,7.31,7.53,83.8,1.98,3.22,.65,7900,15.7
06/06/2025,15:15,20.04,.62,7.28,7.16,78.9,1.94,2.4,.54,7700,15.2
06/06/2025,15:30,20.46,.62,7.32,7.54,83.8,1.98,3.08,.61,7700,15.2
06/06/2025,15:45,20.29,.61,7.3,7.33,81.2,2.03,2.84,.59,7900,15.2
06/06/2025,16:00,20.47,.61,7.31,7.47,83,1.94,2.99,.6,7900,15
06/06/2025,16:15,20.9,.61,7.35,7.79,87.3,2.02,3.35,.65,8200,15.6
06/06/2025,16:30,20.63,.61,7.32,7.58,84.5,1.95,3.17,.62,8200,15.4
06/06/2025,16:45,20.51,.61,7.3,7.41,82.5,1.92,3.06,.59,7800,15.1
06/06/2025,17:00,20.72,.61,7.32,7.61,85,1.95,3.6,.6,7400,15.1
06/06/2025,17:15,20.6,.61,7.31,7.48,83.4,1.97,3.18,.6,7700,15.2
06/06/2025,17:30,20.86,.61,7.34,7.68,86.1,2.03,3.37,.62,7700,15.4
06/06/2025,17:45,20.8,.61,7.33,7.61,85.1,1.98,3.63,.65,7700,15.7
06/06/2025,18:00,20.79,.61,7.32,7.54,84.4,2.01,3.59,.63,8100,16.1
06/06/2025,18:15,20.89,.61,7.33,7.6,85.2,2.02,4.11,.67,8100,16.5
06/06/2025,18:30,20.85,.61,7.32,7.55,84.6,2.08,4.46,.67,8600,16.8
06/06/2025,18:45,20.84,.61,7.32,7.52,84.2,2.02,3.91,.65,9100,17.1
06/06/2025,19:00,20.8,.61,7.31,7.46,83.5,1.98,3.49,.68,9100,17.1
06/06/2025,19:15,20.8,.61,7.31,7.44,83.3,1.95,3.84,.67,9100,17.6
06/06/2025,19:30,20.94,.61,7.33,7.58,85,1.89,3.92,.65,8600,18
06/06/2025,19:45,20.92,.61,7.32,7.55,84.7,1.88,3.82,.66,8600,18.1
06/06/2025,20:00,20.93,.61,7.33,7.55,84.7,1.91,3.81,.66,7800,18.1
06/06/2025,20:15,20.9,.61,7.33,7.58,85,1.85,3.59,.69,6900,17.9
06/06/2025,20:30,20.7,.62,7.29,7.33,81.9,1.95,4.24,.67,6900,17.9
06/06/2025,20:45,20.65,.62,7.28,7.28,81.2,1.93,3.64,.62,6700,17.9
06/06/2025,21:00,20.59,.62,7.28,7.21,80.3,2.04,3.42,.62,6700,17.8
06/06/2025,21:15,20.58,.63,7.28,7.18,79.99,2.04,4.31,.7,6700,17.8
06/06/2025,21:30,20.57,.62,7.27,7.16,79.76,1.97,3.58,.67,7200,17.6
06/06/2025,21:45,20.6,.62,7.28,7.19,80.1,1.97,4.04,.68,7700,17.7
06/06/2025,22:00,20.62,.62,7.29,7.25,80.8,1.97,3.53,.61,7900,17.4
06/06/2025,22:15,20.61,.62,7.28,7.2,80.3,1.92,3.47,.63,7900,17.1
06/06/2025,22:30,20.59,.62,7.28,7.19,80.1,1.92,3.45,.62,7900,16.7
06/06/2025,22:45,20.63,.62,7.29,7.24,80.7,1.77,3.24,.57,7900,16.6
06/06/2025,23:00,20.6,.62,7.28,7.19,80.2,1.83,3.39,.65,7300,16.7
06/06/2025,23:15,20.58,.62,7.28,7.16,79.83,2.02,3.23,.61,7300,16.5
06/06/2025,23:30,20.63,.62,7.29,7.3,81.4,1.92,3.17,.64,6700,16.3
06/06/2025,23:45,20.65,.62,7.28,7.26,81,1.96,3.49,.65,6700,16.3
06/07/2025,00:00,20.67,.62,7.29,7.3,81.5,2.03,3.45,.63,6700,16.4
06/07/2025,00:15,20.7,.62,7.29,7.35,82.2,1.91,3.24,.63,6700,16.1
06/07/2025,00:30,20.72,.62,7.3,7.4,82.7,1.91,3.47,.62,6500,16.1
06/07/2025,00:45,20.89,.61,7.33,7.53,84.5,1.87,3.36,.58,6500,16.3
06/07/2025,01:00,21.02,.61,7.34,7.57,85.1,1.88,3.94,.67,6500,16.4
06/07/2025,01:15,21.16,.61,7.35,7.65,86.2,1.87,3.78,.64,6400,16.6
06/07/2025,01:30,21.39,.6,7.39,7.83,88.7,1.93,4.15,.67,6400,16.6
06/07/2025,01:45,21.42,.6,7.39,7.84,88.8,2.02,4.28,.65,6400,17
06/07/2025,02:00,21.48,.6,7.4,7.86,89.2,1.99,4.17,.68,6400,17.8
06/07/2025,02:15,21.49,.6,7.4,7.87,89.3,1.91,6.26,.66,6400,18.4
06/07/2025,02:30,21.5,.6,7.4,7.85,89,2.05,4.08,.62,6700,18.6
06/07/2025,02:45,21.51,.6,7.4,7.85,89.1,1.86,4.12,.7,6700,18.8
06/07/2025,03:00,21.5,.6,7.4,7.85,89,1.95,5.38,.7,7200,18.9
06/07/2025,03:15,21.56,.6,7.4,7.86,89.3,1.97,4.17,.65,7700,18.9
06/07/2025,03:30,21.56,.6,7.4,7.86,89.2,1.87,4.27,.65,7700,18.9
06/07/2025,03:45,21.56,.6,7.4,7.83,88.9,2.01,4.17,.63,7700,18.8
06/07/2025,04:00,21.57,.6,7.4,7.84,89.1,2,4.49,.62,7700,18.9
06/07/2025,04:15,21.58,.6,7.4,7.84,89.1,1.96,4.7,.62,7800,18.8
06/07/2025,04:30,21.58,.6,7.4,7.83,88.9,2.17,4.25,.65,7800,19
06/07/2025,04:45,21.58,.6,7.4,7.81,88.8,1.9,4.32,.62,7800,19
06/07/2025,05:00,21.58,.6,7.4,7.79,88.6,1.91,4.06,.66,7800,18.9
06/07/2025,05:15,21.6,.6,7.4,7.82,88.9,1.97,4.24,.64,7800,18.9
06/07/2025,05:30,21.6,.6,7.4,7.82,88.9,2.04,4.64,.67,8300,18.9
06/07/2025,05:45,21.6,.6,7.4,7.79,88.6,1.99,3.97,.69,8200,19
06/07/2025,06:00,21.59,.6,7.4,7.81,88.8,2.15,4.3,.63,8200,19
06/07/2025,06:15,21.59,.6,7.39,7.77,88.4,1.82,4.26,.65,8200,19
06/07/2025,06:30,21.59,.6,7.39,7.78,88.4,2.01,4.41,.64,8200,19
06/07/2025,06:45,21.6,.6,7.4,7.81,88.8,2.09,4.46,.67,8700,19.1
06/07/2025,07:00,21.6,.6,7.4,7.8,88.6,1.91,4.35,.63,8700,19.1
06/07/2025,07:15,21.6,.6,7.4,7.78,88.5,1.94,4.3,.63,8700,19.1
06/07/2025,07:30,21.6,.6,7.39,7.76,88.2,2.17,4.14,.6,8700,19
06/07/2025,07:45,21.59,.6,7.39,7.75,88.1,1.95,4.18,.66,8200,19
06/07/2025,08:00,21.6,.6,7.41,7.84,89.1,2.03,4.02,.64,8200,19
06/07/2025,08:15,21.6,.6,7.41,7.86,89.3,2.07,4.64,.69,9200,19.1
06/07/2025,08:30,21.6,.6,7.41,7.89,89.7,1.98,4.4,.64,8800,19.1
06/07/2025,08:45,21.6,.6,7.4,7.82,88.9,2.05,4.36,.68,8800,19.1
06/07/2025,09:00,21.62,.6,7.41,7.87,89.5,1.8,4.3,.64,8800,19
06/07/2025,09:15,21.62,.6,7.41,7.86,89.3,2.04,4.24,.63,9600,18.9
06/07/2025,09:30,21.6,.6,7.38,7.68,87.3,1.95,4.05,.6,8800,18.9
06/07/2025,09:45,21.59,.6,7.37,7.65,86.9,1.97,3.72,.58,8800,18.9
06/07/2025,10:00,21.58,.6,7.37,7.63,86.7,2.07,4.17,.56,9000,18.9
06/07/2025,10:15,21.58,.6,7.37,7.6,86.4,2.09,3.52,.55,9000,18.5
06/07/2025,10:30,21.56,.6,7.37,7.63,86.7,2.13,3.11,.53,9900,17.9
06/07/2025,10:45,21.58,.6,7.38,7.7,87.5,2.13,3.72,.56,10100,17.1
06/07/2025,11:00,21.54,.6,7.38,7.69,87.3,1.95,3.28,.52,10100,16.5
06/07/2025,11:15,21.55,.6,7.38,7.68,87.2,2.06,3.3,.52,10400,16.2
06/07/2025,11:30,21.57,.6,7.38,7.68,87.2,1.98,3.44,.52,10400,15.6
06/07/2025,11:45,21.57,.6,7.37,7.58,86.1,1.96,3.41,.54,10400,15.4
06/07/2025,12:00,21.56,.6,7.37,7.58,86.1,2.03,3.14,.51,9900,15.1
06/07/2025,12:15,21.58,.6,7.38,7.65,86.9,2,3.48,.56,9100,15.1
06/07/2025,12:30,21.59,.6,7.38,7.66,87,1.99,3.57,.55,8600,15.4
06/07/2025,12:45,21.59,.6,7.38,7.67,87.1,1.98,3.68,.59,8300,15.4
06/07/2025,13:00,21.58,.6,7.37,7.62,86.6,2.01,3.05,.5,8600,15.4
06/07/2025,13:15,21.6,.6,7.36,7.55,85.9,2.07,3.42,.56,8600,15.5
06/07/2025,13:30,21.6,.6,7.36,7.52,85.5,1.95,3.7,.55,8600,15.6
06/07/2025,13:45,21.6,.6,7.36,7.51,85.3,1.91,3.86,.56,8600,15.9
06/07/2025,14:00,21.58,.6,7.36,7.52,85.4,2.01,3.8,.54,8600,16.2
06/07/2025,14:15,21.56,.61,7.36,7.48,85,2.03,3.47,.5,8700,16.1
06/07/2025,14:30,21.58,.6,7.36,7.52,85.5,1.9,3.63,.55,8600,16.2
06/07/2025,14:45,21.52,.61,7.35,7.48,84.9,2.04,2.94,.44,9000,15.9
06/07/2025,15:00,21.52,.61,7.36,7.6,86.2,1.99,3.55,.53,8700,16
06/07/2025,15:15,21.56,.61,7.37,7.72,87.6,1.92,3.8,.59,7900,16.2
06/07/2025,15:30,21.56,.61,7.37,7.73,87.8,2.02,4.11,.6,8700,16.3
06/07/2025,15:45,21.56,.62,7.37,7.7,87.5,2.02,4.16,.57,9100,16.3
06/07/2025,16:00,21.54,.62,7.36,7.67,87.1,2.08,3.45,.53,9200,15.9
06/07/2025,16:15,21.55,.61,7.38,7.72,87.7,2.03,4.96,.61,9200,16.5
06/07/2025,16:30,21.55,.61,7.39,7.76,88.1,1.96,4.36,.67,9200,17.4
06/07/2025,16:45,21.52,.62,7.37,7.68,87.2,2.06,4.57,.63,9200,18.1
06/07/2025,17:00,21.51,.62,7.36,7.63,86.5,2.04,4.01,.57,9300,18.1
06/07/2025,17:15,21.48,.61,7.38,7.67,87,1.95,3.84,.56,9300,18
06/07/2025,17:30,21.45,.62,7.34,7.37,83.5,2.11,3.41,.51,9600,17.7
06/07/2025,17:45,21.35,.62,7.33,7.34,83.1,2.03,2.96,.52,9600,17.2
06/07/2025,18:00,21.26,.62,7.31,7.32,82.7,2.05,3.66,.59,9600,17.3
06/07/2025,18:15,21.3,.61,7.33,7.4,83.6,2.01,4.51,.57,9600,17.2
06/07/2025,18:30,21.28,.61,7.33,7.36,83.2,2,3.8,.59,9600,16.9
06/07/2025,18:45,21.33,.61,7.33,7.41,83.8,2.01,3.65,.6,9200,16.7
06/07/2025,19:00,21.36,.61,7.34,7.45,84.3,2.03,3.95,.61,9200,16.8
06/07/2025,19:15,21.35,.61,7.33,7.41,83.9,2.08,3.91,.58,9500,16.8
06/07/2025,19:30,21.41,.61,7.35,7.54,85.4,1.99,3.9,.59,9200,17.2
06/07/2025,19:45,21.41,.61,7.35,7.5,84.9,2.02,3.55,.61,9100,17.2
06/07/2025,20:00,21.41,.61,7.35,7.52,85.2,2.02,4.83,.64,9100,17.4
06/07/2025,20:15,21.4,.61,7.34,7.49,84.8,2.08,4.11,.62,9200,17.5
06/07/2025,20:30,21.36,.61,7.34,7.44,84.2,2.09,3.9,.62,9300,17.6
06/07/2025,20:45,21.34,.61,7.33,7.42,83.9,2.11,4.08,.59,10100,17.6
06/07/2025,21:00,21.34,.61,7.34,7.46,84.3,1.92,3.93,.62,10000,17.7
06/07/2025,21:15,21.33,.61,7.34,7.45,84.3,2.13,4.01,.59,10000,17.8
06/07/2025,21:30,21.29,.61,7.34,7.43,84,2.1,3.73,.61,10900,17.8
06/07/2025,21:45,21.28,.61,7.34,7.41,83.7,2.07,3.64,.58,10900,17.8
06/07/2025,22:00,21.26,.61,7.33,7.38,83.4,2.12,3.87,.61,11100,17.6
06/07/2025,22:15,21.24,.61,7.33,7.35,83,2.1,3.79,.61,11300,17.5
06/07/2025,22:30,21.24,.61,7.33,7.33,82.7,2.04,3.74,.63,11300,17.4
06/07/2025,22:45,21.22,.61,7.33,7.33,82.7,1.97,3.78,.62,10900,17.2
06/07/2025,23:00,21.2,.61,7.33,7.32,82.5,2.08,3.88,.62,11000,17.2
06/07/2025,23:15,21.2,.61,7.33,7.31,82.5,2.05,3.66,.62,10600,17.2
06/07/2025,23:30,21.19,.61,7.33,7.28,82.1,2.07,3.73,.6,10500,17.2
06/07/2025,23:45,21.18,.61,7.32,7.25,81.7,1.98,3.63,.62,10200,17.3
06/08/2025,00:00,21.17,.61,7.32,7.24,81.6,1.94,3.73,.6,9900,17.2
06/08/2025,00:15,21.18,.61,7.31,7.19,81.1,2.05,3.78,.62,9900,17.2
06/08/2025,00:30,21.15,.61,7.32,7.19,81,1.94,3.6,.59,9100,17.2
06/08/2025,00:45,21.17,.61,7.32,7.23,81.5,1.94,3.65,.61,9100,17
06/08/2025,01:00,21.16,.61,7.32,7.21,81.2,2.33,3.52,.59,9100,16.8
06/08/2025,01:15,21.17,.61,7.32,7.22,81.4,1.99,3.85,.67,8300,16.9
06/08/2025,01:30,21.17,.61,7.32,7.2,81.1,1.95,3.76,.65,7800,17
06/08/2025,01:45,21.17,.61,7.33,7.27,82,2.26,3.35,.6,7900,16.9
06/08/2025,02:00,21.17,.61,7.33,7.24,81.6,2.04,3.5,.58,9100,16.7
06/08/2025,02:15,21.17,.61,7.32,7.21,81.3,2,3.56,.62,8600,16.6
06/08/2025,02:30,21.15,.61,7.32,7.2,81.1,2.04,3.55,.61,9200,16.6
06/08/2025,02:45,21.14,.61,7.33,7.23,81.5,2.02,3.6,.58,9500,16.5
06/08/2025,03:15,21.16,.61,7.33,7.21,81.3,2.05,3.31,.59,9700,16.5
06/08/2025,03:30,21.23,.6,7.34,7.26,82,2.15,3.47,.58,9700,16.2
06/08/2025,03:45,21.23,.6,7.34,7.27,82,2.11,3.41,.56,9700,16.1
06/08/2025,04:00,21.29,.6,7.35,7.28,82.2,2.04,3.29,.57,9700,16
06/08/2025,04:15,21.29,.6,7.35,7.29,82.4,2.09,3.52,.59,10000,16
06/08/2025,04:30,21.3,.6,7.36,7.3,82.6,2.09,3.65,.57,11000,16
06/08/2025,04:45,21.31,.6,7.36,7.31,82.6,2.18,3.63,.63,11000,16
06/08/2025,05:00,21.33,.6,7.36,7.33,82.9,2.3,3.62,.6,11300,16.1
06/08/2025,05:15,21.33,.6,7.36,7.31,82.6,2.22,8.82,.62,12000,16.4
06/08/2025,05:30,21.34,.6,7.36,7.3,82.6,2.38,3.97,.63,12400,16.6
06/08/2025,05:45,21.38,.6,7.36,7.29,82.6,2.33,3.58,.61,13800,16.7
06/08/2025,06:00,21.4,.6,7.36,7.29,82.5,2.38,3.64,.58,15400,16.7
06/08/2025,06:15,21.41,.6,7.36,7.3,82.7,2.54,3.73,.57,16800,16.8
06/08/2025,06:30,21.4,.6,7.36,7.32,82.8,2.34,4.62,.61,17300,16.9
06/08/2025,06:45,21.4,.6,7.36,7.3,82.7,2.36,3.68,.57,17700,16.9
06/08/2025,07:00,21.42,.59,7.36,7.32,82.9,2.31,3.75,.6,17700,17
06/08/2025,07:15,21.46,.59,7.38,7.39,83.8,2.16,3.35,.56,17700,16.8
06/08/2025,07:30,21.48,.59,7.38,7.39,83.8,2.23,3.84,.6,17300,16.8
06/08/2025,07:45,21.51,.59,7.39,7.47,84.8,2.49,5.67,.58,17700,16.8
06/08/2025,08:00,21.52,.59,7.4,7.48,84.9,2.47,3.74,.61,17700,16.9
06/08/2025,08:15,21.5,.59,7.38,7.39,83.8,2.49,3.75,.63,17700,17
06/08/2025,08:30,21.54,.59,7.39,7.45,84.5,2.45,3.8,.62,19100,17
06/08/2025,08:45,21.53,.59,7.38,7.41,84.1,2.71,4.07,.64,20500,17.1
06/08/2025,09:00,21.53,.59,7.38,7.39,83.9,2.47,3.76,.62,20700,17.3
06/08/2025,09:15,21.56,.59,7.39,7.48,85,2.39,4.14,.65,20700,17.4
06/08/2025,09:30,21.52,.59,7.38,7.4,84,2.42,3.61,.58,20700,17.3
06/08/2025,09:45,21.5,.59,7.37,7.34,83.3,2.38,3.7,.6,20500,17.2
06/08/2025,10:00,21.49,.59,7.36,7.29,82.7,2.39,3.64,.58,19800,17.2
06/08/2025,10:15,21.45,.6,7.35,7.25,82.2,2.42,3.14,.53,19500,17.1
06/08/2025,10:30,21.52,.59,7.37,7.34,83.4,2.52,3.51,.55,19500,16.7
06/08/2025,10:45,21.5,.6,7.36,7.29,82.7,2.38,3.02,.53,19100,16.5
06/08/2025,11:00,21.51,.6,7.35,7.23,82,2.44,3.17,.55,19100,16.1
06/08/2025,11:15,21.52,.6,7.36,7.26,82.5,2.56,3.31,.57,19500,15.6
06/08/2025,11:30,21.5,.6,7.35,7.21,81.9,2.42,3.34,.57,19500,15.4
06/08/2025,11:45,21.48,.6,7.35,7.22,81.8,2.54,3.39,.52,19700,15.3
06/08/2025,12:00,21.48,.6,7.35,7.21,81.8,2.43,3.05,.51,19800,14.9
06/08/2025,12:15,21.47,.6,7.34,7.17,81.3,2.45,2.83,.51,20100,14.9
06/08/2025,12:30,21.44,.6,7.34,7.13,80.8,2.42,2.89,.47,19800,14.4
06/08/2025,12:45,21.46,.6,7.34,7.15,81.1,2.42,2.94,.5,19800,14.3
06/08/2025,13:00,21.43,.6,7.34,7.14,80.9,2.25,3.09,.49,19600,14.1
06/08/2025,13:15,21.44,.6,7.34,7.16,81.1,2.42,3.79,.49,19500,14.1
06/08/2025,13:30,21.46,.6,7.34,7.12,80.7,2.4,2.7,.49,19500,13.8
06/08/2025,13:45,21.46,.6,7.33,7.07,80.1,2.36,2.78,.47,19500,13.5
